time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,8.333333333333337,1.0,17214.762270413496,0.0,-8847.890415785154,0.2,0.0001354166666666668,72138.3073286785,15.287123936958862,0.4841000122343359,23897.585062199338,68.05737270077049
160.16130859524844,1334.6775716270722,8.333333333333341,11458.100687894439,14501.42232760378,0.0,-7826.866346193236,0.22168851053893995,0.0001354166666666669,71970.55228052332,16.604020743467036,0.45045820453313723,20610.615121864164,75.0907938870504
381.1512250712649,3176.2602089272095,8.333333333333337,29105.601822852226,11993.00847272658,0.0,-6899.502388297192,0.25161422839506714,0.00013541666666666674,71766.8252484233,17.810613060327142,0.42256295657389703,17474.05540149387,84.68111157286279
451.0937780554277,3759.114817128566,8.333333333333336,35131.053690153145,11408.17132997948,0.0,-6684.282111154167,0.2610856157783392,0.00013541666666666674,71706.84446822153,18.084855536264463,0.416842634424293,16720.50312293269,87.68854069539462
451.0937780554277,3759.114817128566,8.333333333333336,35131.053690153145,11408.17132997948,0.0,-6684.282111154167,0.2610856157783392,0.00013541666666666674,71706.84446822153,18.084855536264463,0.416842634424293,16720.50312293269,87.68854069539462
778.1886932561695,6484.905777134749,8.333333333333334,66081.4857738456,9541.704144292844,0.0,-5999.020350252166,0.30537971887843973,0.00013541666666666674,71446.51172900871,18.733739788981033,0.40569238282436276,14203.967307509038,101.57433671224166
1229.5129152167665,10245.94096013972,8.333333333333332,116145.54387653203,8369.76296210354,0.0,-5544.6520673342475,0.36649654060227044,0.00013541666666666663,71120.99003119244,18.27006305967647,0.42156396462925566,12392.232158549961,120.24308113524813
1372.3554883571612,11436.295736309681,8.333333333333332,133731.83144574406,8188.640854879402,0.0,-5479.7864047519815,0.38583980571503235,0.0001354166666666666,71021.51006223602,17.969453573976924,0.4309663593686445,12050.450642968173,126.03147997598322
1372.3554883571612,11436.295736309681,8.333333333333332,133731.83144574406,8188.640854879402,0.0,-5479.7864047519815,0.38583980571503235,0.0001354166666666666,71021.51006223602,17.969453573976924,0.4309663593686445,12050.450642968173,126.03147997598322
1761.2389795364406,14676.99149613701,8.333333333333334,185754.660476632,7949.635480706006,0.0,-5398.477807911028,0.4385011118122265,0.00013541666666666666,70755.38136034666,16.523214281150818,0.47091308340532806,11444.901432879791,141.49270970085894
2297.818825120695,19148.490209339125,8.333333333333329,267231.5560158623,7912.150134971139,0.0,-5439.319529542913,0.5111629659017608,0.00013541666666666658,70390.02064659502,14.044515898567843,0.5449528495430969,11023.330972279107,162.0990338309868
2467.6445116428386,20563.704263690324,8.33333333333333,295296.8844735832,7907.153925765125,0.0,-5451.533403246095,0.5341601942849677,0.00013541666666666655,70273.12971636205,13.179383584320409,0.5722021861211026,10917.947688318347,168.44210711069562
2467.6445116428386,20563.704263690324,8.33333333333333,295296.8844735832,7907.153925765125,0.0,-5451.533403246095,0.5341601942849677,0.00013541666666666655,70273.12971636205,13.179383584320409,0.5722021861211026,10917.947688318347,168.44210711069562
2794.7394268435805,23289.495223696504,8.333333333333332,352354.1075284329,7912.341754730194,0.0,-5486.211478207283,0.5784542973850683,0.00013541666666666655,70047.79645147633,11.544029442210586,0.6278072849165691,10751.609467741502,180.41248453081275
3246.063648804178,27050.530406701477,8.33333333333333,437399.47795722843,8006.079084529188,0.0,-5561.22745970201,0.6395711191088989,0.00013541666666666666,69733.83448505423,9.063484120330727,0.7225654670400522,10646.31129580851,196.3874781476862
3388.9062219445723,28240.885182871432,8.333333333333337,465802.16336695163,8036.09070143225,0.0,-5582.754677201761,0.6589143842216607,0.0001354166666666668,69633.47630013345,8.268768512384476,0.7559964420650772,10620.698248080882,201.3103653791
3388.9062219445723,28240.885182871432,8.333333333333337,465802.16336695163,8036.09070143225,0.0,-5582.754677201761,0.6589143842216607,0.0001354166666666668,69633.47630013345,8.268768512384476,0.7559964420650772,10620.698248080882,201.3103653791
3549.067530539821,29575.562754498507,8.333333333333334,498478.68902790896,8068.869262327327,0.0,-5608.911035148427,0.6806028947606007,0.00013541666666666655,69520.55839309278,7.330681260022236,0.7974351247808986,10594.700212677455,206.75274127059586
3770.057447015837,31417.14539179864,8.333333333333341,544983.2855120711,8109.308152145552,0.0,-5650.779690830812,0.710528612616728,0.0001354166666666668,69363.81505610589,6.161778331264628,0.8533921484158232,10559.643414486196,214.1271070526247
3840.0,32000.0,8.333333333333334,560039.4063896083,8124.409635887989,0.0,-5664.74289607679,0.72,0.0001354166666666668,69313.95287192921,5.794886346576858,0.8719057985904475,10552.090175884614,216.42809923352345
3840.0,32000.0,0.1626574333547935,560039.4063896083,8124.409635887989,0.0,-4492.653479202476,0.72,0.0,69313.95287192921,5.794886346576858,0.6877045964201999,8159.414642027543,216.42809923352345
4352.840676913558,32083.417348226692,0.16265743335479113,671012.2020106807,8093.407843523312,0.0,-4474.1237673865935,0.7200000000000002,7.223441105476736e-20,69024.25077164307,5.79524423230686,0.6876912942501754,8128.2793219494515,216.34879352671084
5060.45613879168,32198.516263057947,0.16265743335479113,824065.2204604961,8050.821701636865,0.0,-4448.6473049047245,0.72,3.611720552738368e-20,68626.48312581099,5.795330909088337,0.6876875984384441,8085.509777540223,216.23932112574042
5284.414013087699,32234.94467607054,0.16265743335478877,872489.8369177086,8037.389055006383,0.0,-4440.605903661001,0.7200000000000001,0.0,68501.06370879705,5.795259258685119,0.6876899941833235,8072.019286716134,216.2046621886785
5284.414013087699,32234.94467607054,0.16265743335478877,872489.8369177086,8037.389055006383,0.0,-4440.605903661001,0.7200000000000001,0.0,68501.06370879705,5.795259258685119,0.6876899941833235,8072.019286716134,216.2046621886785
6331.780441333203,32405.306611070922,0.16265743335478816,1098850.4262448275,7974.860700449998,0.0,-4403.137913833591,0.72,2.708790414553776e-20,67917.52967773732,5.794284208406432,0.6877242346733295,8009.221702248258,216.0425032260492
7776.9323418005315,32640.371310008733,0.16265743335478877,1410902.864390041,7889.369028568542,0.0,-4351.812479580604,0.7200000000000001,1.805860276369184e-20,67120.45895262767,5.791178992815207,0.6878348742238477,7923.362010320923,215.81856126335057
8234.317977219645,32714.768483519354,0.16265743335478758,1509598.952588442,7862.500084996514,0.0,-4335.657623759154,0.7200000000000001,0.0,66870.13134058597,5.789763462339751,0.6878854966925304,7896.377422057166,215.74763702220866
8234.317977219645,32714.768483519354,0.16265743335478758,1509598.952588442,7862.500084996514,0.0,-4335.657623759154,0.7200000000000001,0.0,66870.13134058597,5.789763462339751,0.6878854966925304,7896.377422057166,215.74763702220866
9479.533033253512,32917.31196850857,0.16265743335478758,1778130.8786016544,7789.808861614715,0.0,-4291.893129752988,0.7200000000000002,-3.611720552738368e-20,66193.32799153017,5.784835310882846,0.6880621204430848,7823.373378073159,215.55443277847962
11197.67565859271,33196.78063808369,0.16265743335478758,2148254.9215085367,7690.604018490817,0.0,-4232.021932962617,0.72,-5.417580829107552e-20,65270.70026857989,5.775405413303662,0.6884009594933036,7723.741725161619,215.28757184951039
11741.461925058753,33285.23151648064,0.16265743335478758,2265302.3622392756,7659.46671205201,0.0,-4213.195099911116,0.7200000000000001,-3.611720552738368e-20,64981.38464025745,5.771776015380698,0.6885315180056352,7692.470492411153,215.20304382561088
11741.461925058753,33285.23151648064,0.16265743335478758,2265302.3622392756,7659.46671205201,0.0,-4213.195099911116,0.7200000000000001,-3.611720552738368e-20,64981.38464025745,5.771776015380698,0.6885315180056352,7692.470492411153,215.20304382561088
12788.82835330426,33455.59345148103,0.16265743335478788,2490613.503278682,7599.845212825548,0.0,-4177.097312482067,0.7200000000000001,-4.063185621830664e-20,64427.77054093735,5.76389599905578,0.6888152126033604,7632.592602967757,215.04014594527848
14233.980253771588,33690.658150418836,0.16265743335478877,2801216.644546574,7518.3354734260165,0.0,-4127.641425132878,0.72,-1.805860276369184e-20,63671.688082403256,5.751065861317141,0.6892777877717456,7550.732453576196,214.81518167649787
14691.365889190703,33765.05532392946,0.1626574333547935,2899453.7271881034,7492.719885146902,0.0,-4112.073181865014,0.7199999999999999,7.223441105476736e-20,63434.26244812578,5.746524082683109,0.6894417324510633,7525.0067687549235,214.74393321216584
14691.365889190703,33765.05532392946,0.1626574333547935,2899453.7271881034,7492.719885146902,0.0,-4112.073181865014,0.7199999999999999,7.223441105476736e-20,63434.26244812578,5.746524082683109,0.6894417324510633,7525.0067687549235,214.74393321216584
15204.20656610426,33848.47267215615,0.16265743335479113,3009562.657892212,7464.102345536193,0.0,-4094.665363775552,0.72,-7.223441105476736e-20,63169.115971126295,5.741152647247766,0.6896357569174849,7496.266243830912,214.6640188151451
15911.82202798238,33963.57158698741,0.16265743335478877,3161423.2062063836,7424.795768580818,0.0,-4070.729063670624,0.72,0.0,62805.11136969925,5.733252159843164,0.6899213929129254,7456.790768057826,214.55370543704706
