time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0,0,8.333333333333337,1,9447.994071259396,0,-4451.857076,0.2,0.000135417,52527.63258118885,15.176093101859204,0.4412194693003253,14314.102969056721,68.05737270077049
160.16130859524844,1334.6775716270722,8.333333333333341,11458.100687894435,8039.754100634347,0,-4076.325213,0.22168851053893995,0.000135417,52441.77028253661,16.624644723427217,0.4088059778979552,12491.253694552459,75.09079389
381.1512250712649,3176.2602089272095,8.333333333333337,29105.60182285222,6778.7958000012795,0,-3740.735238,0.25161422839506714,0.000135417,52333.43137395591,18.10193976581357,0.381860748,10775.656349487452,84.68111157286279
451.0937780554277,3759.114817128566,8.333333333333336,35131.05369015314,6495.154345937446,0,-3662.092303,0.2610856157783392,0.000135417,52300.754961587976,18.45034827646262,0.37664345072488536,10369.804873017983,87.68854069539462
451.0937780554277,3759.114817128566,8.333333333333336,35131.05369015314,6495.154345937446,0,-3662.092303,0.2610856157783392,0.000135417,52300.754961587976,18.45034827646262,0.37664345072488536,10369.804873017983,87.68854069539462
778.1886932561695,6484.905777134749,8.333333333333334,66081.48577,5646.375843321223,0,-3430.403023,0.30537971887843973,0.000135417,52155.00103755623,19.52934768158123,0.36621359067724213,9049.765788055025,101.57433671224166
1229.5129152167665,10245.94096013972,8.333333333333332,116145.54387653203,5236.763155027495,0,-3301.231691,0.36649654060227044,0.000135417,51964.647705883464,19.93126741,0.3724192247706801,8175.785716881515,120.24308113524813
1372.3554883571612,11436.295736309681,8.333333333333332,133731.83144574406,5201.378079732995,0,-3270.833006,0.38583980571503235,0.000135417,51905.21951217408,19.558488008065467,0.3602112966633782,8023.7354787054255,126.03147997598322
1372.3554883571612,11436.295736309681,8.333333333333332,133731.83144574406,5201.378079732995,0,-3270.833006,0.38583980571503235,0.000135417,51905.21951217408,19.558488008065467,0.3602112966633782,8023.7354787054255,126.03147997598322
1761.2389795364406,14676.99149613701,8.333333333333334,185754.6605,5147.903052109665,0,-3193.145253,0.4385011118122265,0.000135417,51747.22661802795,18.384869141293517,0.31271697020900374,7704.179557341602,141.49270970085894
2297.818825120695,19148.490209339125,8.333333333333329,267231.5560158624,5205.728596022707,0,-3234.609126,0.5111629659017608,0.000135417,51530.91425219811,15.676597408836617,0.38879550280412584,7483.352486853878,162.0990338309868
2467.6445116428386,20563.704263690324,8.333333333,295296.8844735832,5250.814465292739,0,-3253.950454,0.5341601942849677,0.000135417,51461.207294374326,14.719380149632919,0.4222983290409999,7455.627063363619,168.44210711069562
2467.6445116428386,20563.704263690324,8.333333333,295296.8844735832,5250.814465292739,0,-3253.950454,0.5341601942849677,0.000135417,51461.207294374326,14.719380149632919,0.4222983290409999,7455.627063363619,168.44210711069562
2794.7394268435805,23289.495223696504,8.333333333333332,352354.10752843285,5360.927961718991,0,-3315.62418,0.5784542973850683,0.000135417,51325.81820621864,12.808653477778677,0.49493681502422693,7441.332280257566,180.41248453081275
3246.063648804178,27050.530406701477,8.333333333,437399.4779572283,5496.745081101575,0,-3394.853563,0.6395711191088989,0.000135417,51134.9873,10.112799170293442,0.6109687625582234,7432.795799744441,196.3874781476862
3388.9062219445723,28240.885182871432,8.333333333333337,465802.16336695146,5533.289504587653,0,-3416.321018,0.6589143842216607,0.000135417,51073.67327381806,9.259764318362954,0.6516631783174001,7429.007026865458,201.3103654
3388.9062219445723,28240.885182871432,8.333333333333337,465802.16336695146,5533.289504587653,0,-3416.321018,0.6589143842216607,0.000135417,51073.67327381806,9.259764318362954,0.6516631783174001,7429.007026865458,201.3103654
3549.067530539821,29575.562754498507,8.333333333333334,498478.6890279087,5568.215004149245,0,-3437.557763,0.6806028947606007,0.000135417,51004.52346,8.244728629628705,0.702564009,7421.318700920287,206.75274127059586
3770.057447015837,31417.14539179864,8.333333333333341,544983.2855120708,5614.318679143698,0,-3472.501068,0.710528613,0.000135417,50908.3359,6.985278012203202,0.7717732799121236,7412.698573539076,214.1271070526247
3840,32000,8.333333333333334,560039.4063896078,5630.453229509921,0,-3484.711856,0.72,0.000135417,50877.67983709675,6.5973164259762385,0.7944224888340911,7412.414118094712,216.42809923352345
3840,32000,0.16424792587983802,560039.4063896078,5630.453229509921,0,-2762.349602,0.72,0,50877.67983709675,6.5973164259762385,0.5739063373307449,5656.39877,216.42809923352345
4347.874591291469,32083.417348226692,0.16424792587983564,669937.5984180707,5611.683139907789,0,-2752.491117,0.7200000000000002,7.294073162348679e-20,50701.22953266844,6.587925267520873,0.574226855,5637.548175777759,216.34879352671084
5048.637868603519,32198.516263057947,0.16424792587983564,821508.5299962972,5585.878546508341,0,-2738.924892,0.72,3.6470365811743397e-20,50458.79841304761,6.574576248209511,0.5746851272692625,5611.632938,216.23932112574042
5270.4270499124905,32234.94467607054,0.16424792587983325,869464.2273231169,5577.7341463266785,0,-2734.639973,0.7200000000000001,0,50382.319127861345,6.570256387596485,0.5748340671340307,5603.453625189088,216.2046621886785
5270.4270499124905,32234.94467607054,0.16424792587983325,869464.2273231169,5577.7341463266785,0,-2734.639973,0.7200000000000001,0,50382.319127861345,6.570256387596485,0.5748340671340307,5603.453625189088,216.2046621886785
6307.651319794755,32405.306611070922,0.16424792587983264,1093632.8568894106,5539.790896056332,0,-2714.656826,0.72,2.7352774358807546e-20,50026.241116124256,6.549441426,0.5755559,5565.3477698693405,216.0425032260492
7738.809111764612,32640.371310008733,0.16424792587983325,1402663.5393934166,5487.830705323098,0,-2687.235042,0.7200000000000001,1.8235182905871698e-20,49539.20148071843,6.5190388498418415,0.5766219134466934,5513.165025558219,215.81856126335057
8191.765659691145,32714.768483519354,0.16424792587983206,1500403.9053322098,5471.480974100713,0,-2678.592568,0.7200000000000001,0,49386.083473750616,6.509003550509641,0.5769766496657031,5496.745292267458,215.74763702220866
8191.765659691145,32714.768483519354,0.16424792587983206,1500403.9053322098,5471.480974100713,0,-2678.592568,0.7200000000000001,0,49386.083473750616,6.509003550509641,0.5769766496657031,5496.745292267458,215.74763702220866
9424.922692903196,32917.31196850857,0.16424792587983206,1766335.5060052024,5427.203060046745,0,-2655.152433,0.7200000000000002,-3.65E-20,48971.719363531935,6.480659282252032,0.5779858188915047,5452.277857195202,215.55443277847962
11126.427707825555,33196.78063808369,0.16424792587983206,2132875.457656369,5366.668103460173,0,-2623.020931,0.72,-5.47E-20,48405.94043171893,6.439054056294139,0.5794851111924829,5391.4839288377025,215.28757184951039
11664.948227479865,33285.23151648064,0.16424792587983206,2248789.471048617,5347.640613265051,0,-2612.900673,0.7200000000000001,-3.65E-20,48228.30547215655,6.425280179598741,0.57998568,5372.375083,215.20304382561088
11664.948227479865,33285.23151648064,0.16424792587983206,2248789.471048617,5347.640613265051,0,-2612.900673,0.7200000000000001,-3.65E-20,48228.30547215655,6.425280179598741,0.57998568,5372.375083,215.20304382561088
12702.172497362128,33455.59345148103,0.16424792587983236,2471918.8146446794,5311.170085701972,0,-2593.474453,0.7200000000000001,-4.10E-20,47888.100885681226,6.397918232996893,0.5809859250812663,5335.748682116323,215.04014594527848
14133.330289331985,33690.658150418836,0.16424792587983325,2779514.235,5261.233604426162,0,-2566.812704,0.72,-1.82E-20,47422.84452860802,6.358335655379414,0.582446229,5285.598897,214.81518167649787
14586.286837258518,33765.05532392946,0.16424792587983802,2876800.0396726043,5245.522342225853,0,-2558.408707,0.7199999999999999,7.294073162348679e-20,47276.592402009104,6.345359235121086,0.5829282855034174,5269.820550953954,214.74393321216584
14586.286837258518,33765.05532392946,0.16424792587983802,2876800.0396726043,5245.522342225853,0,-2558.408707,0.7199999999999999,7.294073162348679e-20,47276.592402009104,6.345359235121086,0.5829282855034174,5269.820550953954,214.74393321216584
15094.161428549987,33848.47267215615,0.16424792587983564,2985842.732007668,5227.9598006848155,0,-2549.00539,0.72,-7.29E-20,47113.17793290695,6.330549704,0.5834803964724636,5252.183035320673,214.6640188151451
15794.924705862037,33963.57158698741,0.16424792587983325,3136232.740717749,5203.820326766866,0,-2536.064729,0.72,0,46888.685883883685,6.309660690216264,0.5842626472720124,5227.940533641095,214.55370543704706
16016.713887171009,34000,0.16424792587983802,3183814.5571671324,5196.202834926308,0,-2531.977257,0.72,1.4588146324697359e-19,46817.87276049456,6.3029386705748705,0.5845152311500906,5220.2905354593495,214.5187800652524
16016.713887171009,34000,-16.55904495,3183814.5571671324,5196.202834926308,0,-1371.258216,0.72,-0.000177948,46817.87276049456,6.3029386705748705,0.16879553488471782,2209.7216644922205,214.5187800652524
16101.093184844443,32602.759417202917,-16.55904495,3201777.3314878056,5215.671074853113,0,-1376.519682,0.7049848773191956,-0.000177948,46803.263897984165,7.306026537728647,0.14704235986063077,2190.283808507255,211.35290812525812
16217.51939357555,30674.85259377933,-16.55904495,3226118.084292093,5242.635335039586,0,-1379.688935,0.684267073,-0.000177948,46783.042059603154,8.673346098785737,0.12027789388341344,2160.5553568670302,206.8806790554273
16254.367890569323,30064.676675818537,-16.55904495,3233712.5452557397,5249.909301,0,-1379.211534,0.6777099583073037,-0.000177948,46776.63617658768,9.098673251296786,0.11240388534211787,2149.1156204116064,205.44035420521385
16254.367890569323,30064.676675818537,-16.55904495,3233712.5452557397,5249.909301,0,-1379.211534,0.6777099583073037,-0.000177948,46776.63617658768,9.098673251296786,0.11240388534211787,2149.1156204116064,205.44035420521385
16426.694399757256,27211.11426456206,-16.55904495,3268514.2755257627,5278.462022300571,0,-1341.816579,0.6470448100072341,-0.000177948,46746.994215406135,11.449628287079298,0.084447996,2084.793461208379,198.54796476942104
16664.46981009862,23273.780557353733,-16.55904495,3314537.7997221155,5289.950889,0,-1198.187308,0.6047331641984284,-0.000177948,46708.67954031595,14.734735712123467,0.066531734,1951.6850708660734,188.62062791374956
16739.724914500348,22027.62790105081,-16.55904495,3328605.6249784916,5286.586971,0,-1147.280437,0.5913416729665163,-0.000177948,46697.63082516908,15.86554493530758,0.061197554007337236,1897.993468,185.3797590457909
16739.724914500348,22027.62790105081,-16.55904495,3328605.6249784916,5286.586971,0,-1147.280437,0.5913416729665163,-0.000177948,46697.63082516908,15.86554493530758,0.061197554007337236,1897.993468,185.3797590457909
16944.60408382224,18635.024527481582,-16.55904495,3365649.3928080346,5262.659932710656,0,-998.4901894,0.5548838456684589,-0.000177948,46670.122378525986,19.06714554645879,0.047818302,1724.1566378524092,176.3203457
17227.295521056556,13953.924312098105,-16.55904495,3413642.082926335,5229.023595332899,0,-936.2012097,0.5045794851449348,-0.000177948,46636.15918635882,23.12646994034508,0.039900589817252904,1446.8949487190732,163.2633028938937
17316.766394398765,12472.372098949196,-16.55904495,3428051.9146645516,5210.411352680595,0,-1073.923899,0.4886583270334839,-0.000177948,46625.53724768633,24.13725885838179,0.049291385997633726,1340.5289424780854,158.9988517
17316.766394398765,12472.372098949196,-16.55904495,3428051.9146645516,5210.411352680595,0,-1073.923899,0.4886583270334839,-0.000177948,46625.53724768633,24.13725885838179,0.049291385997633726,1340.5289424780854,158.9988517
17489.092903586698,9618.809687692725,-16.55904495,3454717.886970882,5159.460711164795,0,-1195.195554,0.4579931787334144,-0.000177948,46600.61652428719,26.13069512658929,0.087297699,1103.5275902206176,150.6098186194414
17726.868313928062,5681.475980484389,-16.55904495,3489096.3007781613,5055.8661,0,-1102.757112,0.4156815329246083,-0.000177948,46565.442075513405,27.899966500018763,0.04934099,697.7371169151461,138.66141565826337
17802.12341832979,4435.323324181463,-16.55904495,3499378.8542923103,5015.289212498015,0,-1068.214046,0.4022900416926962,-0.000177948,46555.39813532578,28.37158850717259,0.037436006,548.0623847,134.79094549067395
17802.12341832979,4435.323324181463,-16.55904495,3499378.8542923103,5015.289212498015,0,-1068.214046,0.4022900416926962,-0.000177948,46555.39813532578,28.37158850717259,0.037436006,548.0623847,134.79094549067395
17886.502716003226,3038.0827413843745,-16.55904495,3510559.478433729,4965.657752101575,0,-1030.613606,0.38727491901189176,-0.000177948,46544.23926844403,28.90947189484735,0.024082041,367.0737201613057,130.40117072492166
18002.92892473433,1110.1759179607957,-16.55904495,3525373.28,4890.639052209522,0,-975.2014664,0.36655711434226523,-0.000177948,46529.52215524225,29.56362177206163,0.005770362,92.97928310196012,124.2576494
18039.777421728104,500,-16.55904495,3529911.9999999995,4865.477158,0,-956.934745,0.36,-0.000177948,46525.03699,29.73936381,-4.36E-10,-7.15E-06,122.29253366343002
