time (s),CD (unitless),CL (unitless),EAS (knot),TAS_violation (knot),altitude (ft),altitude_rate (ft/min),angle_of_attack (rad),cruise_time (s),distance (ft),flight_path_angle (rad),fuel_flow_rate_negative_total (lbm/s),lift (lbf),load_factor (unitless),mach (unitless),mass (lbm),normal_force (lbf),theta (deg),throttle (unitless),thrust_net_total (lbf),velocity (knot)
0.0,0.035614285693645185,0.3807506760807459,0.06600374847363591,,,,,,0.0,,,0.012033696574656503,,9.977856031150891e-05,148500.0,148499.98796630342,0.0,0.956,45745.19712956253,0.066
14.202041028867287,0.03561430480157655,0.3810573919680032,50.85325646255043,,,,,,355.0510257216821,,,7149.062612671435,,0.07687540229646152,148500.0,141350.93738732857,0.0,0.956,41997.77333338525,50.850368413075095
33.797958971132715,0.03448638924494335,0.38251547798364044,120.92929938308845,,,,,,844.9489742783178,,,40581.98245803131,,0.18281009292591358,148500.0,107918.0175419687,0.0,0.9559999999999998,37978.171631357145,120.92243158692492
40.0,0.03419530824119581,0.3832434923864405,143.10812737238334,,,,,,1000.0,,,56940.93039587087,,0.2163380603117716,148500.0,91559.06960412912,0.0,0.956,36930.41806692165,143.10000000000002
40.0,0.033350504295034736,0.2467727969873024,143.10812737238334,,,,0.0,,1000.0,,,36664.608626099434,,0.2163380603117716,148500.0,112802.11701862652,-1.5,0.956,36930.41806692165,143.10000000000002
41.775255128608414,0.03374075392675294,0.32789329766118847,145.49362002892752,,,,0.015492023528566077,,3793.8563638245555,,,50354.885319726476,,0.21994423463380622,148500.0,98538.69007719152,-0.6123724356957945,0.956,36825.038455307855,145.48535718005178
44.22474487139159,0.03466379782199108,0.43851290394911,148.92310043529082,,,,0.036867854031263816,,3950.4413782954452,,,70554.98250016992,,0.22512861621025773,148500.0,77553.0612696313,0.6123724356957947,0.9559999999999998,36673.540477618306,148.91464281994823
45.0,0.0350466205651031,0.47320706064856616,150.00851925826342,,,,0.04363323129985824,,4000.0,,,77251.02252382043,,0.22676945525342931,148500.0,70609.77276058492,1.0,0.956,36625.591885662114,150.0
45.0,0.03504661693338288,0.47320706064856616,150.00851925826342,,0.0,,0.04363323129985824,,4000.0,0.0,,77251.02252382043,0.5245133147435359,0.22676945525342931,148500.0,70609.77276058492,1.0,0.956,36625.591885662114,150.0
47.21906891076051,0.036190488369729004,0.4476254057364802,153.01599266882218,,44.38137821521026,,0.04208402894700163,,4532.576538582523,0.01239361882285286,,76034.29931094313,0.5159591713549648,0.23150146983820197,148500.0,71885.94745810343,1.621339295012944,0.956,36454.626832181595,153.10669647506472
50.28093108923949,0.03614697337167773,0.43348489688492153,157.15912574791187,,105.61862178478972,,0.039946445896731846,,5267.423461417477,0.029494283225011048,,77673.76406222823,0.5266422518212311,0.2380330646533532,148500.0,70327.63949951342,2.4786607049870555,0.9559999999999997,36219.222719483485,157.39330352493528
51.25,0.035868982406339595,0.429998250328069,158.4688277138698,,125.0,,0.0392699081698724,,5500.0,0.03490658503988659,,78338.55404071126,0.5310418488162885,0.24010086753483226,148500.0,69688.32465816637,2.749999999999999,0.9559999999999997,36144.83721392572,158.75
51.25,0.035868982406339595,0.42999825032806915,158.4688277138698,,125.0,,0.039269908169872414,,5500.0,0.03490658503988659,,78338.5540407113,0.5310418488162888,0.24010086753483226,148500.0,69688.32465816633,2.75,0.956,36144.837213925726,158.75
53.46906891076051,0.028494368110398918,0.42252083784868827,161.46504156340256,,169.3813782152103,,0.03772070581701581,,6032.576538582523,0.04730020386273945,,79914.63533817371,0.5415471185933889,0.24483696799682922,148500.0,68170.19804088489,3.3713392950129437,0.956,35974.71777298492,161.85669647506472
56.53093108923949,0.02041315459912194,0.4126228223235227,165.59264915293184,,230.61862178478972,,0.03558312276674603,,6767.423461417477,0.06440086826489766,,82083.62463551541,0.5561670385945299,0.2513742050627168,148500.0,66080.40710077064,4.228660704987057,0.9559999999999998,35729.72891740958,166.14330352493528
57.5,0.02028155205517521,0.4095239429779462,166.89743988548506,,250.0,,0.03490658503988659,,7000.000000000001,0.06981317007977318,,82756.06272883469,0.5607401601337202,0.253443794803332,148500.0,65432.92754497906,4.5,0.956,35639.5417453132,167.5
57.5,0.02028155205517521,0.4095239429779462,166.89743988548506,,250.0,,0.03490658503988659,,7000.000000000001,0.06981317007977318,,82756.06272883469,0.5607401601337202,0.253443794803332,148500.0,65432.92754497906,4.5,0.956,35639.5417453132,167.5
59.71906891076051,0.02009585655300019,0.4024526777911664,169.8824121263437,,294.38137821521025,,0.033357382687029986,,7532.576538582523,0.08220678890262605,,84262.20726089634,0.5710633780925354,0.25818398899552936,148500.0,63983.474195631294,5.121339295012945,0.956,35433.32840257073,170.60669647506472
62.78093108923949,0.01986058611747428,0.39267778709356327,173.99451920774425,,355.61862178478975,,0.031219799636760207,,8267.423461417478,0.09930745330478426,,86243.95093349909,0.584841737620732,0.2647268791607061,148500.0,62078.90124783884,5.978660704987058,0.9559999999999998,35149.49591421476,174.89330352493528
63.75,0.019787757244034657,0.38957955886182827,175.2944066645145,,375.0,,0.030543261909900764,,8500.0,0.10471975511965978,,86846.72609673909,0.5890836476618059,0.2667982591971436,148500.0,61500.29700824333,6.25,0.956,35059.833038277065,176.25
63.75,0.019787757244034657,0.38957955886182827,175.2944066645145,,375.0,,0.030543261909900764,,8500.0,0.10471975511965978,,86846.72609673909,0.5890836476618059,0.2667982591971436,148500.0,61500.29700824333,6.25,0.956,35059.833038277065,176.25
65.96906891076051,0.019623995917130082,0.38247571193279045,178.2681556116263,,419.38137821521025,,0.028994059557044156,,9032.576538582522,0.11711337394251263,,88180.5039463033,0.5985687742548489,0.2715425549949256,148500.0,60221.41050817383,6.871339295012944,0.956,34854.82065347984,179.35669647506472
69.03093108923949,0.01607359464454062,0.24128716990212404,182.36478766843413,,480.61862178478975,,0.026856476506774384,,9767.423461417478,0.13421403834467083,,58215.33118515308,0.3957388944803785,0.278091109138912,148500.0,90261.27911723005,7.728660704987057,0.956,34572.64609575242,183.64330352493528
70.0,0.013172832000721434,0.1264558537365166,183.65977996639933,,500.0,,0.02617993877991494,,10000.0,0.13962634015954636,,30944.839152272856,0.21043065187285379,0.28016428291767087,148500.0,117555.16084772715,8.0,0.956,34483.50815562087,185.0
70.0,0.025421232234198135,0.6068441392591127,183.65977996639933,,,,0.12940622293370163,,10000.0,,,,,0.28016428291767087,148500.0,,,0.956,34483.50815562087,185.0
74.61566333438186,0.019830629065535788,0.4796969610716201,206.57090732833316,,,,0.1014213957006935,,13550.510257216823,,,,,0.3151141209789272,148500.0,,,0.956,33290.9293422693,208.07831667190936
80.98433666561813,0.015698623627772204,0.3608125367862829,238.18358686056902,,,,0.07524043932349,,18449.489742783182,,,,,0.3633377641406218,148500.0,,,0.9559999999999998,31855.76740524221,239.92168332809064
83.0,0.014860561095794363,0.33230785065829016,248.18889184648555,,,,0.06895906736629279,,20000.0,,,,,0.3786003823211769,148500.0,,,0.956,31448.44310792407,250.0
83.0,0.014610084445381255,0.32292966050960475,250.0,-124.06904849292954,500.0,,0.06695194991935369,,20000.0,0.1674494383701977,-3.5927826623206562,,,0.381363141904187,148500.0,,11.930210260998534,0.956,31374.711386898492,251.82432434832197
125.60612308660185,0.014661934613845688,0.32384689542083717,250.0,-130.44236141223553,3872.9847443559806,,0.06658069388453358,,48404.08205773458,0.1497145288574869,-3.356788670889608,,,0.4057009496393522,148500.0,,10.892803391959834,0.956,28797.66763311624,264.7603082964548
184.39387691339815,0.01472465988597341,0.32488069692927857,250.0,-140.05276868861964,8527.015255644019,,0.0658506956316867,,87595.91794226544,0.1268110953648336,-3.0469360194509085,,,0.44292780768732215,148500.0,,9.538707497532174,0.9559999999999998,25457.479874642657,284.2666585786975
203.0,0.014742382007457864,0.32515997990979867,250.0,-143.31094605419713,10000.0,,0.06556052534450045,,100000.0,0.11988005716926615,-2.9505567027442017,,,0.45568801437450535,148500.0,,9.124962728486322,0.956,24444.078041340377,290.87981732908725
203.0,0.013455167245614219,0.2761895513038368,270.0,-167.32102968889464,10000.0,3604.578376977751,0.054786628042930476,,100000.0,0.11354708334192207,-2.98077162918596,,,0.4921430555244658,147015.0,,8.144811212125346,0.956,23773.307500647607,314.15020271541425
356.8554444793956,0.013480463650125792,0.2766000057181165,270.0,-176.1983944893176,13254.634402448753,3333.5766311897287,0.05398867602298487,,111835.03419072276,0.09967040201731057,-2.733109254396468,,,0.5245876936828295,147015.0,,7.304016655580278,0.956,21758.204186370913,330.81771878806154
569.1445555206044,0.01350635073119836,0.27705293119232677,270.0,-189.6237715077484,17745.36559755125,2941.4820968484887,0.05257183731074794,,128164.96580927726,0.08167606634379154,-2.4482575520625187,,,0.5743841936002072,147015.0,,6.191838287884012,0.9559999999999998,19137.36082630384,356.02426287706686
636.3333333333333,0.013512743090214675,0.2772024461463206,270.0,-194.18554616155478,19166.666666666668,2758.9299990234263,0.05203631301742415,,133333.33333333334,0.07479407395445625,-2.3418254820324504,,,0.5914967254785748,147015.0,,5.766845887499768,0.956,18132.082192864265,364.5891302753843
636.3333333333333,0.013512743090214675,0.2772024461463206,270.0,-194.18554616155478,19166.666666666668,2758.9299990234276,0.05203631301742415,,133333.33333333334,0.07479407395445627,-2.3418254820324504,,,0.5914967254785748,147015.0,,5.766845887499769,0.9560000000000001,18132.08219286427,364.5891302753843
790.1887778127289,0.013521409334311283,0.2774637300508863,270.0,-205.25621255334522,22421.301069115416,2376.516670913076,0.05059226033769783,,145168.36752405606,0.06093288554194344,-2.131185869663723,,,0.633417290301077,147015.0,,4.8899201684842675,0.956,16103.569868848608,385.3746352274049
